Date : 2023-05-15 16:02:53
Directory : c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2
Total : 693 files,  90245 codes, 15306 comments, 9257 blanks, all 114808 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\tribes\introduction.html                                                                     | HTML            |        222 |          0 |         10 |        232 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\tribes\membership.html                                                                       | HTML            |          8 |          0 |          0 |          8 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\tribes\setup.html                                                                            | HTML            |          8 |          0 |          0 |          8 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\tribes\status.html                                                                           | HTML            |          8 |          0 |          0 |          8 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\tribes\transport.html                                                                        | HTML            |          8 |          0 |          0 |          8 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\virtual-hosting-howto.html                                                                   | HTML            |        110 |          0 |          0 |        110 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\web-socket-howto.html                                                                        | HTML            |        135 |          0 |         15 |        150 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\websocketapi\index.html                                                                      | HTML            |         14 |         16 |          5 |         35 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\windows-auth-howto.html                                                                      | HTML            |        286 |          0 |         17 |        303 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\docs\windows-service-howto.html                                                                   | HTML            |        506 |          0 |         42 |        548 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\META-INF\context.xml                                                                     | XML             |          7 |         16 |          1 |         24 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\CookieExample.class                                                      | Java            |         84 |          0 |          0 |         84 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\CookieExample.java                                                       | Java            |         91 |         25 |         25 |        141 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\HelloWorldExample.class                                                  | Java            |         13 |          0 |          0 |         13 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\HelloWorldExample.java                                                   | Java            |         37 |         28 |         15 |         80 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings.properties                                                  | Java Properties |         28 |         14 |          7 |         49 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_cs.properties                                               | Java Properties |          5 |         14 |          4 |         23 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_de.properties                                               | Java Properties |          9 |         14 |          6 |         29 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_es.properties                                               | Java Properties |         28 |         14 |          7 |         49 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_fr.properties                                               | Java Properties |         28 |         14 |          7 |         49 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_ja.properties                                               | Java Properties |         28 |         14 |          7 |         49 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_ko.properties                                               | Java Properties |         28 |         14 |          7 |         49 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_pt.properties                                               | Java Properties |         28 |         14 |          7 |         49 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_pt_BR.properties                                            | Java Properties |          1 |         14 |          2 |         17 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_ru.properties                                               | Java Properties |          1 |         14 |          2 |         17 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\LocalStrings_zh_CN.properties                                            | Java Properties |         28 |         14 |          7 |         49 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\RequestHeaderExample.class                                               | Java            |         30 |          0 |          0 |         30 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\RequestHeaderExample.java                                                | Java            |         67 |         25 |         18 |        110 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\RequestInfoExample.class                                                 | Java            |         20 |          0 |          0 |         20 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\RequestInfoExample.java                                                  | Java            |         73 |         26 |         20 |        119 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\RequestParamExample.class                                                | Java            |         19 |          0 |          0 |         19 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\RequestParamExample.java                                                 | Java            |         67 |         26 |         19 |        112 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\ServletToJsp.class                                                       | Java            |         13 |          0 |          0 |         13 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\ServletToJsp.java                                                        | Java            |         17 |         17 |          6 |         40 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\SessionExample.class                                                     | Java            |         28 |          0 |          0 |         28 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\SessionExample.java                                                      | Java            |         97 |         26 |         25 |        148 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async0$1.class                                                     | Java            |         16 |          0 |          0 |         16 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async0.class                                                       | Java            |         29 |          0 |          0 |         29 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async0.java                                                        | Java            |         46 |         16 |          8 |         70 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async1$1.class                                                     | Java            |         19 |          0 |          0 |         19 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async1.class                                                       | Java            |         15 |          0 |          0 |         15 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async1.java                                                        | Java            |         35 |         16 |         10 |         61 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async2$1.class                                                     | Java            |         24 |          0 |          0 |         24 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async2.class                                                       | Java            |         15 |          0 |          0 |         15 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async2.java                                                        | Java            |         41 |         16 |         10 |         67 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async3.class                                                       | Java            |          9 |          0 |          0 |          9 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Async3.java                                                        | Java            |         16 |         16 |          8 |         40 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\AsyncStockContextListener.class                                    | Java            |         13 |          0 |          0 |         13 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\AsyncStockContextListener.java                                     | Java            |         19 |         20 |          6 |         45 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\AsyncStockServlet.class                                            | Java            |         51 |          0 |          0 |         51 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\AsyncStockServlet.java                                             | Java            |        100 |         21 |         24 |        145 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Stockticker$Stock.class                                            | Java            |         35 |          0 |          0 |         35 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Stockticker$TickListener.class                                     | Java            |          4 |          0 |          0 |          4 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Stockticker.class                                                  | Java            |         41 |          0 |          0 |         41 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async\Stockticker.java                                                   | Java            |        157 |         24 |         32 |        213 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\Entries.class                                                        | Java            |         19 |          0 |          0 |         19 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\Entries.java                                                         | Java            |         37 |         16 |         11 |         64 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\Entry.class                                                          | Java            |         11 |          0 |          0 |         11 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\Entry.java                                                           | Java            |         27 |         16 |         10 |         53 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\JspCalendar.class                                                    | Java            |         53 |          0 |          0 |         53 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\JspCalendar.java                                                     | Java            |         97 |         16 |         40 |        153 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\TableBean.class                                                      | Java            |         33 |          0 |          0 |         33 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal\TableBean.java                                                       | Java            |         70 |         19 |         18 |        107 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\checkbox\CheckTest.class                                                 | Java            |         10 |          0 |          0 |         10 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\checkbox\CheckTest.java                                                  | Java            |         10 |         16 |          5 |         31 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\colors\ColorGameBean.class                                               | Java            |         25 |          0 |          0 |         25 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\colors\ColorGameBean.java                                                | Java            |         74 |         18 |         23 |        115 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionFilter.class                               | Java            |         38 |          0 |          0 |         38 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionFilter.java                                | Java            |        140 |         59 |         26 |        225 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionFilterTestServlet.class                    | Java            |         21 |          0 |          0 |         21 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionFilterTestServlet.java                     | Java            |         34 |         20 |         12 |         66 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionResponseStream.class                       | Java            |         74 |          0 |          0 |         74 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionResponseStream.java                        | Java            |        231 |        143 |         75 |        449 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionServletResponseWrapper.class               | Java            |         48 |          0 |          0 |         48 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters\CompressionServletResponseWrapper.java                | Java            |        136 |        112 |         48 |        296 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\dates\JspCalendar.class                                                  | Java            |         66 |          0 |          0 |         66 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\dates\JspCalendar.java                                                   | Java            |        103 |         16 |         37 |        156 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\error\Smart.class                                                        | Java            |         13 |          0 |          0 |         13 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\error\Smart.java                                                         | Java            |         10 |         16 |          5 |         31 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\ExampleTagBase.class                                            | Java            |         14 |          0 |          0 |         14 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\ExampleTagBase.java                                             | Java            |         43 |         18 |         14 |         75 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\FooTag.class                                                    | Java            |         21 |          0 |          0 |         21 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\FooTag.java                                                     | Java            |         45 |         27 |         16 |         88 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\FooTagExtraInfo.class                                           | Java            |          8 |          0 |          0 |          8 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\FooTagExtraInfo.java                                            | Java            |         16 |         16 |          5 |         37 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\LogTag.class                                                    | Java            |         21 |          0 |          0 |         21 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\LogTag.java                                                     | Java            |         34 |         19 |         11 |         64 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\ValuesTag.class                                                 | Java            |         30 |          0 |          0 |         30 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples\ValuesTag.java                                                  | Java            |         45 |         23 |         12 |         80 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\filters\ExampleFilter.class                                              | Java            |         28 |          0 |          0 |         28 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\filters\ExampleFilter.java                                               | Java            |         31 |         50 |         19 |        100 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\http2\SimpleImagePush.class                                              | Java            |         15 |          0 |          0 |         15 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\http2\SimpleImagePush.java                                               | Java            |         36 |         16 |          8 |         60 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\BookBean.class                                             | Java            |         11 |          0 |          0 |         11 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\BookBean.java                                              | Java            |         20 |         16 |          7 |         43 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\FooBean.class                                              | Java            |         12 |          0 |          0 |         12 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\FooBean.java                                               | Java            |         13 |         16 |          6 |         35 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\ValuesBean.class                                           | Java            |         11 |          0 |          0 |         11 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\ValuesBean.java                                            | Java            |         24 |         19 |          8 |         51 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\el\Functions.class                                         | Java            |         15 |          0 |          0 |         15 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\el\Functions.java                                          | Java            |         20 |         21 |          5 |         46 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\EchoAttributesTag.class                          | Java            |         18 |          0 |          0 |         18 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\EchoAttributesTag.java                           | Java            |         32 |         19 |          6 |         57 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\FindBookSimpleTag.class                          | Java            |         20 |          0 |          0 |         20 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\FindBookSimpleTag.java                           | Java            |         18 |         20 |          7 |         45 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\HelloWorldSimpleTag.class                        | Java            |         16 |          0 |          0 |         16 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\HelloWorldSimpleTag.java                         | Java            |         10 |         19 |          4 |         33 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\RepeatSimpleTag.class                            | Java            |         18 |          0 |          0 |         18 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\RepeatSimpleTag.java                             | Java            |         17 |         20 |          6 |         43 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\ShuffleSimpleTag.class                           | Java            |         18 |          0 |          0 |         18 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\ShuffleSimpleTag.java                            | Java            |         56 |         21 |          9 |         86 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\TileSimpleTag.class                              | Java            |         17 |          0 |          0 |         17 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag\TileSimpleTag.java                               | Java            |         21 |         19 |          7 |         47 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\listeners\ContextListener.class                                          | Java            |         24 |          0 |          0 |         24 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\listeners\ContextListener.java                                           | Java            |         42 |         60 |         38 |        140 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\listeners\SessionListener.class                                          | Java            |         29 |          0 |          0 |         29 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\listeners\SessionListener.java                                           | Java            |         52 |         78 |         32 |        162 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\ByteCounter$1.class                                          | Java            |          4 |          0 |          0 |          4 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\ByteCounter$CounterListener.class                            | Java            |         27 |          0 |          0 |         27 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\ByteCounter.class                                            | Java            |         13 |          0 |          1 |         14 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\ByteCounter.java                                             | Java            |         77 |         43 |         23 |        143 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\NumberWriter$1.class                                         | Java            |          4 |          0 |          0 |          4 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\NumberWriter$NumberWriterListener.class                      | Java            |         34 |          0 |          0 |         34 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\NumberWriter.class                                           | Java            |         10 |          0 |          1 |         11 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking\NumberWriter.java                                            | Java            |         81 |         43 |         25 |        149 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\num\NumberGuessBean.class                                                | Java            |         33 |          0 |          0 |         33 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\num\NumberGuessBean.java                                                 | Java            |         61 |         19 |         19 |         99 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\sessions\DummyCart.class                                                 | Java            |         20 |          0 |          0 |         20 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\sessions\DummyCart.java                                                  | Java            |         36 |         20 |         11 |         67 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\trailers\ResponseTrailers$1.class                                        | Java            |          4 |          0 |          0 |          4 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\trailers\ResponseTrailers$TrailerFieldSupplier.class                     | Java            |         13 |          0 |          0 |         13 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\trailers\ResponseTrailers.class                                          | Java            |         12 |          0 |          1 |         13 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\trailers\ResponseTrailers.java                                           | Java            |         35 |         19 |         15 |         69 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\util\CookieFilter.class                                                  | Java            |         31 |          0 |          0 |         31 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\util\CookieFilter.java                                                   | Java            |         38 |         33 |         15 |         86 |
| c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\util\HTMLFilter.class                                                    | Java            |         15 |          0 |          0 |         15 |
