Date : 2023-05-15 16:02:53
Directory : c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2
Total : 693 files,  90245 codes, 15306 comments, 9257 blanks, all 114808 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| .metadata\.plugins\org.eclipse.wildwebdeveloper.embedder.node\node-v16.14.2-win-x64                                                                                                |          7 |      1,550 |         11 |        741 |      2,302 |
| .metadata\.plugins\org.eclipse.wildwebdeveloper.xml                                                                                                                                |          1 |        232 |          0 |          0 |        232 |
| .metadata\.plugins\org.eclipse.wst.internet.cache                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| .metadata\.plugins\org.eclipse.wst.jsdt.core                                                                                                                                       |          5 |      1,076 |      7,194 |        228 |      8,498 |
| .metadata\.plugins\org.eclipse.wst.jsdt.core\libraries                                                                                                                             |          5 |      1,076 |      7,194 |        228 |      8,498 |
| .metadata\.plugins\org.eclipse.wst.jsdt.ui                                                                                                                                         |          2 |          4 |          0 |          2 |          6 |
| .metadata\.plugins\org.eclipse.wst.server.core                                                                                                                                     |         49 |      7,476 |        922 |        381 |      8,779 |
| .metadata\.plugins\org.eclipse.wst.server.core (Files)                                                                                                                             |          5 |         20 |          0 |          5 |         25 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0                                                                                                                                |         44 |      7,456 |        922 |        376 |      8,754 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf                                                                                                                           |          5 |      4,226 |        896 |         72 |      5,194 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps                                                                                                                     |         39 |      3,230 |         26 |        304 |      3,560 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\ROOT                                                                                                                |          1 |          3 |          0 |          0 |          3 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\ROOT\WEB-INF                                                                                                        |          1 |          3 |          0 |          0 |          3 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario                                                                                                       |         38 |      3,227 |         26 |        304 |      3,557 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario (Files)                                                                                               |         17 |      2,356 |         26 |        303 |      2,685 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF                                                                                               |         13 |        595 |          0 |          0 |        595 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes                                                                                       |         13 |        595 |          0 |          0 |        595 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador                                                                           |          7 |        412 |          0 |          0 |        412 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\modelo                                                                                |          6 |        183 |          0 |          0 |        183 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\jsons                                                                                                 |          4 |         45 |          0 |          0 |         45 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\jsons\attacks                                                                                         |          1 |          3 |          0 |          0 |          3 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\jsons\vehiculos                                                                                       |          3 |         42 |          0 |          0 |         42 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\resources                                                                                             |          1 |          1 |          0 |          0 |          1 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\resources\img                                                                                         |          1 |          1 |          0 |          0 |          1 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\resources\img\logo                                                                                    |          1 |          1 |          0 |          0 |          1 |
| .metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\textosLegales                                                                                         |          3 |        230 |          0 |          1 |        231 |
| .metadata\.plugins\org.eclipse.wst.sse.core                                                                                                                                        |          1 |          1 |          2 |          1 |          4 |
| .metadata\.plugins\org.eclipse.wst.xml.core                                                                                                                                        |          2 |        236 |          0 |          2 |        238 |
| Servers                                                                                                                                                                            |          5 |      4,226 |        896 |         72 |      5,194 |
| Servers\Concesionario-v2-config                                                                                                                                                    |          5 |      4,226 |        896 |         72 |      5,194 |
| apache-tomcat-9.0.73                                                                                                                                                               |        544 |     70,579 |      6,174 |      7,223 |     83,976 |
| apache-tomcat-9.0.73 (Files)                                                                                                                                                       |          2 |        179 |          0 |         69 |        248 |
| apache-tomcat-9.0.73\bin                                                                                                                                                           |         23 |      2,203 |        518 |        340 |      3,061 |
| apache-tomcat-9.0.73\conf                                                                                                                                                          |          9 |      4,359 |        983 |         96 |      5,438 |
| apache-tomcat-9.0.73\webapps                                                                                                                                                       |        510 |     63,838 |      4,673 |      6,718 |     75,229 |
| apache-tomcat-9.0.73\webapps\ROOT                                                                                                                                                  |          5 |      1,743 |         66 |         59 |      1,868 |
| apache-tomcat-9.0.73\webapps\ROOT (Files)                                                                                                                                          |          4 |      1,731 |         50 |         56 |      1,837 |
| apache-tomcat-9.0.73\webapps\ROOT\WEB-INF                                                                                                                                          |          1 |         12 |         16 |          3 |         31 |
| apache-tomcat-9.0.73\webapps\docs                                                                                                                                                  |        115 |     42,875 |        755 |      3,801 |     47,431 |
| apache-tomcat-9.0.73\webapps\docs (Files)                                                                                                                                          |         42 |     27,064 |        160 |      1,914 |     29,138 |
| apache-tomcat-9.0.73\webapps\docs\META-INF                                                                                                                                         |          1 |          5 |         16 |          1 |         22 |
| apache-tomcat-9.0.73\webapps\docs\WEB-INF                                                                                                                                          |          2 |         51 |         22 |          7 |         80 |
| apache-tomcat-9.0.73\webapps\docs\WEB-INF (Files)                                                                                                                                  |          1 |         16 |         16 |          3 |         35 |
| apache-tomcat-9.0.73\webapps\docs\WEB-INF\jsp                                                                                                                                      |          1 |         35 |          6 |          4 |         45 |
| apache-tomcat-9.0.73\webapps\docs\annotationapi                                                                                                                                    |          1 |         14 |         16 |          5 |         35 |
| apache-tomcat-9.0.73\webapps\docs\api                                                                                                                                              |          1 |         14 |         16 |          5 |         35 |
| apache-tomcat-9.0.73\webapps\docs\appdev                                                                                                                                           |         12 |      1,012 |        378 |        263 |      1,653 |
| apache-tomcat-9.0.73\webapps\docs\appdev (Files)                                                                                                                                   |          6 |        764 |          0 |        122 |        886 |
| apache-tomcat-9.0.73\webapps\docs\appdev\sample                                                                                                                                    |          6 |        248 |        378 |        141 |        767 |
| apache-tomcat-9.0.73\webapps\docs\appdev\sample (Files)                                                                                                                            |          2 |        141 |        313 |        110 |        564 |
| apache-tomcat-9.0.73\webapps\docs\appdev\sample\src                                                                                                                                |          1 |         35 |         34 |         15 |         84 |
| apache-tomcat-9.0.73\webapps\docs\appdev\sample\src\mypackage                                                                                                                      |          1 |         35 |         34 |         15 |         84 |
| apache-tomcat-9.0.73\webapps\docs\appdev\sample\web                                                                                                                                |          3 |         72 |         31 |         16 |        119 |
| apache-tomcat-9.0.73\webapps\docs\appdev\sample\web (Files)                                                                                                                        |          2 |         52 |         15 |         11 |         78 |
| apache-tomcat-9.0.73\webapps\docs\appdev\sample\web\WEB-INF                                                                                                                        |          1 |         20 |         16 |          5 |         41 |
| apache-tomcat-9.0.73\webapps\docs\architecture                                                                                                                                     |          4 |        201 |          0 |         23 |        224 |
| apache-tomcat-9.0.73\webapps\docs\config                                                                                                                                           |         36 |     13,709 |          0 |      1,488 |     15,197 |
| apache-tomcat-9.0.73\webapps\docs\elapi                                                                                                                                            |          1 |         14 |         16 |          5 |         35 |
| apache-tomcat-9.0.73\webapps\docs\images                                                                                                                                           |          3 |        457 |         67 |         60 |        584 |
| apache-tomcat-9.0.73\webapps\docs\images (Files)                                                                                                                                   |          2 |        420 |         51 |         59 |        530 |
| apache-tomcat-9.0.73\webapps\docs\images\fonts                                                                                                                                     |          1 |         37 |         16 |          1 |         54 |
| apache-tomcat-9.0.73\webapps\docs\jaspicapi                                                                                                                                        |          1 |         14 |         16 |          5 |         35 |
| apache-tomcat-9.0.73\webapps\docs\jspapi                                                                                                                                           |          1 |         14 |         16 |          5 |         35 |
| apache-tomcat-9.0.73\webapps\docs\servletapi                                                                                                                                       |          1 |         14 |         16 |          5 |         35 |
| apache-tomcat-9.0.73\webapps\docs\tribes                                                                                                                                           |          8 |        278 |          0 |         10 |        288 |
| apache-tomcat-9.0.73\webapps\docs\websocketapi                                                                                                                                     |          1 |         14 |         16 |          5 |         35 |
| apache-tomcat-9.0.73\webapps\examples                                                                                                                                              |        364 |     15,204 |      3,573 |      2,659 |     21,436 |
| apache-tomcat-9.0.73\webapps\examples (Files)                                                                                                                                      |          1 |         14 |         16 |          1 |         31 |
| apache-tomcat-9.0.73\webapps\examples\META-INF                                                                                                                                     |          1 |          7 |         16 |          1 |         24 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF                                                                                                                                      |        193 |      7,268 |      2,543 |      1,383 |     11,194 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF (Files)                                                                                                                              |          1 |        327 |         65 |         32 |        424 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes                                                                                                                              |        187 |      6,648 |      2,416 |      1,328 |     10,392 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes (Files)                                                                                                                      |         25 |        868 |        327 |        191 |      1,386 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\async                                                                                                                        |         19 |        685 |        129 |         98 |        912 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\cal                                                                                                                          |          8 |        347 |         67 |         79 |        493 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\checkbox                                                                                                                     |          2 |         20 |         16 |          5 |         41 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\colors                                                                                                                       |          2 |         99 |         18 |         23 |        140 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\compressionFilters                                                                                                           |          8 |        722 |        334 |        161 |      1,217 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\dates                                                                                                                        |          2 |        169 |         16 |         37 |        222 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\error                                                                                                                        |          2 |         23 |         16 |          5 |         44 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\examples                                                                                                                     |         10 |        277 |        103 |         58 |        438 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\filters                                                                                                                      |          2 |         59 |         50 |         19 |        128 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\http2                                                                                                                        |          2 |         51 |         16 |          8 |         75 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2                                                                                                                         |         20 |        387 |        190 |         65 |        642 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples                                                                                                                |         20 |        387 |        190 |         65 |        642 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples (Files)                                                                                                        |          6 |         91 |         51 |         21 |        163 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\el                                                                                                             |          2 |         35 |         21 |          5 |         61 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\jsp2\examples\simpletag                                                                                                      |         12 |        261 |        118 |         39 |        418 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\listeners                                                                                                                    |          4 |        147 |        138 |         70 |        355 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\nonblocking                                                                                                                  |          8 |        250 |         86 |         50 |        386 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\num                                                                                                                          |          2 |         94 |         19 |         19 |        132 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\sessions                                                                                                                     |          2 |         56 |         20 |         11 |         87 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\trailers                                                                                                                     |          4 |         64 |         19 |         16 |         99 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\util                                                                                                                         |          4 |        114 |         64 |         24 |        202 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\validators                                                                                                                   |          2 |         45 |         38 |         17 |        100 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket                                                                                                                    |         59 |      2,171 |        750 |        372 |      3,293 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket (Files)                                                                                                            |          2 |         55 |         19 |         12 |         86 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket\chat                                                                                                               |          2 |        103 |         18 |         22 |        143 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket\drawboard                                                                                                          |         29 |      1,131 |        496 |        216 |      1,843 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket\drawboard (Files)                                                                                                  |         21 |      1,074 |        418 |        200 |      1,692 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket\drawboard\wsmessages                                                                                               |          8 |         57 |         78 |         16 |        151 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket\echo                                                                                                               |         14 |        354 |        113 |         46 |        513 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\classes\websocket\snake                                                                                                              |         12 |        528 |        104 |         76 |        708 |
| apache-tomcat-9.0.73\webapps\examples\WEB-INF\jsp                                                                                                                                  |          5 |        293 |         62 |         23 |        378 |
| apache-tomcat-9.0.73\webapps\examples\jsp                                                                                                                                          |        156 |      6,292 |        781 |        985 |      8,058 |
| apache-tomcat-9.0.73\webapps\examples\jsp (Files)                                                                                                                                  |          1 |        256 |         16 |         90 |        362 |
| apache-tomcat-9.0.73\webapps\examples\jsp\async                                                                                                                                    |          6 |        211 |          0 |         36 |        247 |
| apache-tomcat-9.0.73\webapps\examples\jsp\cal                                                                                                                                      |         10 |        581 |         35 |        135 |        751 |
| apache-tomcat-9.0.73\webapps\examples\jsp\checkbox                                                                                                                                 |          5 |        185 |         48 |         30 |        263 |
| apache-tomcat-9.0.73\webapps\examples\jsp\colors                                                                                                                                   |          5 |        228 |         48 |         66 |        342 |
| apache-tomcat-9.0.73\webapps\examples\jsp\dates                                                                                                                                    |          3 |         82 |         16 |         18 |        116 |
| apache-tomcat-9.0.73\webapps\examples\jsp\error                                                                                                                                    |          6 |        146 |         33 |         33 |        212 |
| apache-tomcat-9.0.73\webapps\examples\jsp\forward                                                                                                                                  |          6 |        108 |         32 |         29 |        169 |
| apache-tomcat-9.0.73\webapps\examples\jsp\include                                                                                                                                  |          6 |         86 |         32 |         29 |        147 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsp2                                                                                                                                     |         68 |      2,910 |        291 |        260 |      3,461 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsp2\el                                                                                                                                  |         18 |      1,119 |         84 |         85 |      1,288 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsp2\jspattribute                                                                                                                        |         10 |        473 |         32 |         48 |        553 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsp2\jspx                                                                                                                                |          5 |        155 |         47 |         13 |        215 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsp2\misc                                                                                                                                |          9 |        266 |         32 |         29 |        327 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsp2\simpletag                                                                                                                           |         14 |        473 |         48 |         51 |        572 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsp2\tagfiles                                                                                                                            |         12 |        424 |         48 |         34 |        506 |
| apache-tomcat-9.0.73\webapps\examples\jsp\jsptoserv                                                                                                                                |          6 |        134 |         17 |         26 |        177 |
| apache-tomcat-9.0.73\webapps\examples\jsp\num                                                                                                                                      |          3 |        108 |         20 |         47 |        175 |
| apache-tomcat-9.0.73\webapps\examples\jsp\security                                                                                                                                 |          6 |        425 |          0 |         33 |        458 |
| apache-tomcat-9.0.73\webapps\examples\jsp\security\protected                                                                                                                       |          6 |        425 |          0 |         33 |        458 |
| apache-tomcat-9.0.73\webapps\examples\jsp\sessions                                                                                                                                 |          5 |        151 |         48 |         35 |        234 |
| apache-tomcat-9.0.73\webapps\examples\jsp\simpletag                                                                                                                                |          3 |         74 |         16 |         19 |        109 |
| apache-tomcat-9.0.73\webapps\examples\jsp\snp                                                                                                                                      |          3 |        120 |         16 |         10 |        146 |
| apache-tomcat-9.0.73\webapps\examples\jsp\tagplugin                                                                                                                                |         11 |        372 |         80 |         63 |        515 |
| apache-tomcat-9.0.73\webapps\examples\jsp\xml                                                                                                                                      |          3 |        115 |         33 |         26 |        174 |
| apache-tomcat-9.0.73\webapps\examples\servlets                                                                                                                                     |          8 |        417 |        128 |         67 |        612 |
| apache-tomcat-9.0.73\webapps\examples\servlets (Files)                                                                                                                             |          7 |        401 |        112 |         67 |        580 |
| apache-tomcat-9.0.73\webapps\examples\servlets\nonblocking                                                                                                                         |          1 |         16 |         16 |          0 |         32 |
| apache-tomcat-9.0.73\webapps\examples\websocket                                                                                                                                    |          5 |      1,206 |         89 |        222 |      1,517 |
| apache-tomcat-9.0.73\webapps\host-manager                                                                                                                                          |         10 |      1,585 |        130 |         68 |      1,783 |
| apache-tomcat-9.0.73\webapps\host-manager (Files)                                                                                                                                  |          1 |         16 |          0 |          2 |         18 |
| apache-tomcat-9.0.73\webapps\host-manager\META-INF                                                                                                                                 |          1 |          8 |         16 |          0 |         24 |
| apache-tomcat-9.0.73\webapps\host-manager\WEB-INF                                                                                                                                  |          5 |        316 |         64 |         26 |        406 |
| apache-tomcat-9.0.73\webapps\host-manager\WEB-INF (Files)                                                                                                                          |          2 |        119 |         46 |         15 |        180 |
| apache-tomcat-9.0.73\webapps\host-manager\WEB-INF\jsp                                                                                                                              |          3 |        197 |         18 |         11 |        226 |
| apache-tomcat-9.0.73\webapps\host-manager\css                                                                                                                                      |          1 |        104 |         16 |         21 |        141 |
| apache-tomcat-9.0.73\webapps\host-manager\images                                                                                                                                   |          2 |      1,141 |         34 |         19 |      1,194 |
| apache-tomcat-9.0.73\webapps\manager                                                                                                                                               |         16 |      2,431 |        149 |        131 |      2,711 |
| apache-tomcat-9.0.73\webapps\manager (Files)                                                                                                                                       |          3 |        193 |         33 |         18 |        244 |
| apache-tomcat-9.0.73\webapps\manager\META-INF                                                                                                                                      |          1 |          8 |         16 |          1 |         25 |
| apache-tomcat-9.0.73\webapps\manager\WEB-INF                                                                                                                                       |          9 |        985 |         50 |         72 |      1,107 |
| apache-tomcat-9.0.73\webapps\manager\WEB-INF (Files)                                                                                                                               |          1 |        166 |         32 |         15 |        213 |
| apache-tomcat-9.0.73\webapps\manager\WEB-INF\jsp                                                                                                                                   |          8 |        819 |         18 |         57 |        894 |
| apache-tomcat-9.0.73\webapps\manager\css                                                                                                                                           |          1 |        104 |         16 |         21 |        141 |
| apache-tomcat-9.0.73\webapps\manager\images                                                                                                                                        |          2 |      1,141 |         34 |         19 |      1,194 |
| auxiliares-plantillas                                                                                                                                                              |          2 |         40 |         50 |         10 |        100 |
